Nome,Marca,EAN,Preço sem desconto,Preço no pix,Valor do desconto,Porcentagem desconto,Preço com Desconto
Ibuprofeno 100mg mL 20mL Neo Química Genérico,Neo Química,7898095343880,33.34,33.34,13.34,40% ,20.000000000000004
Nuromol 6 Comprimidos,Não especificada,7891035001116,16.95,16.95,1.69,10% ,15.26
Nuromol Com 12 Comprimidos,Não especificada,7891035001109,31.79,31.79,3.18,10% ,28.61
"Novalgina 300mg, Caixa Com 5 Supositorios Infantil",Sanofi,7891058467098,19.27,19.27,0.0,0% ,19.27
Alivium Ibuprofeno 50mg mL Gotas Sabor Tutti-Frutti 20mL,Cosmed,7891142115478,47.58,47.58,0.0,0% ,47.58
"Omcilon-A Orabase 1Mg G, Caixa Com 1 Bisnaga Com 10G De Pasta De Uso Bucal  Orabase Ã  Ã Â»Ã Â¿",Aspen Pharma,7895858015824,26.4,"R$ 23,56 ",2.11,8% ,24.29
Novacort 20 + 05 + 25mg pomada dermatológica bisnaga com 30g,Aché,7896658000577,45.21,"R$ 39,91 ",4.07,9% ,41.14
Prednisolona 40mg Althaia 7 Comprimidos,Althaia,7898569765514,37.18,"R$ 27,77 ",8.55,23% ,28.63
"Prednisona Germed Pharma 20Mg, Caixa Com 10 Comprimidos",Germed Pharma,7896004707990,24.95,"R$ 18,63 ",5.74,23% ,19.21
"Candicort 20Mg G + 0,64Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico",Aché,7896658001116,43.58,"R$ 35,93 ",6.54,15% ,37.04
Desonida Creme 30Gr Ems Gen,EMS,7896004710402,39.46,"R$ 27,56 ",11.05,28% ,28.41
Drenison Creme 30g,Biolab,7896241270363,46.5,"R$ 38,34 ",6.97,15% ,39.53
"Prednisona Neo Quimica 20mg, Caixa Com 20 Comprimidos",Neo Química,7896714212098,47.87,"R$ 31,11 ",15.8,33% ,32.06999999999999
Valerato de Betametasona 1mg Neo Química Creme Dermatológico 30g,Neo Química,7896714205861,28.29,"R$ 23,87 ",3.68,13% ,24.61
Prednisolona 5mg Eurofarma 10 Comprimidos,Eurofarma,7891317004293,8.09,"R$ 5,65 ",2.27,28% ,5.82
"Ibuliv Gotas 100mg mL, caixa com 1 frasco gotejador com 20mL de suspensão de uso oral",Não especificada,7896004730042,26.95,26.95,15.64,58% ,11.309999999999999
"Tylenol Comprimido 750mg, blíster com 4 comprimidos revestidos",Janssen-Cilag,7896212422524,7.69,7.69,0.0,0% ,7.69
Doriless Gotas 15mL,Cifarma,7898158691170,37.56,37.56,15.77,42% ,21.790000000000003
Atrofem 400 Mg 2 Capsulas X24,Cosmed,7896094917255,6.98,6.98,0.0,0% ,6.98
Prednisolona 5mg Eurofarma 20 Comprimidos,Eurofarma,7891317004316,16.24,"R$ 10,55 ",5.36,33% ,10.879999999999999
Acetato de Prednisolona - EMS 20mg caixa com 10 comprimidos revestidos,EMS,7896004733234,21.22,"R$ 12,77 ",8.06,38% ,13.159999999999998
Dexametasona Creme 10 Gramas  Teuto Ge,Teuto,7896112101352,12.51,"R$ 11,16 ",1.0,8% ,11.51
Propionato de Clobetasol - Prati-Donaduzzi 05mg/g - solução capilar - 50 g,Prati-Donaduzzi,7899547520408,44.67,"R$ 39,87 ",3.57,8% ,41.1
"Advantan Creme Dermatologico 1Mg G, Caixa Com 1 Bisnaga Com 15G De Creme Dermatologico",Não especificada,5702191025583,85.02,"R$ 67,63 ",15.3,18% ,69.72
Camomilina C 20 Cápsulas,Theraskin,7897129300059,62.85,"R$ 50,58 ",10.71,17% ,52.14
Prelone 20mg Aché 10 Comprimidos,Aché,7896658005145,32.97,"R$ 27,18 ",4.95,15% ,28.02
"Predsim Comprimido 20Mg, Caixa Com 20 Comprimidos",Cosmed,7891142200143,71.66,"R$ 57,00 ",12.9,18% ,58.76
Drenison Oclusivo Fludroxicortida 4mcg Curativo 200cm,Biolab,7896241261248,140.14,"R$ 115,55 ",21.02,15% ,119.11999999999999
"Prednisona Ems 5mg, caixa com 20 comprimidos",EMS,7896004706306,17.06,"R$ 14,39 ",2.22,13% ,14.839999999999998
"Nene Dent N 150Mg G + 3,4Mg G + 3,2Mg G, Caixa Com 1 Bisnaga Com 10G De Gel De Uso Bucal",Cosmed,7896094922129,21.85,"R$ 21,19 ",0.0,0% ,21.85
"Decadron Injetável 4mg ml 1 Frasco-Ampola 2,5ml",Não especificada,7896658003189,21.39,"R$ 17,63 ",3.21,15% ,18.18
"Predsim Comprimido 20Mg, Caixa Com 10 Comprimidos",Cosmed,7891142981363,38.98,"R$ 29,87 ",8.19,21% ,30.79
Dipropionato de Betametasona 5mg mL + Fosfato Dissódico de Betametasona 2mg mL Suspensão Injetável 1 ampola 1mL Eurofarma Genérico,Eurofarma,7891317141967,26.72,"R$ 17,36 ",8.82,33% ,17.9
Trok N Pomada 30g,Eurofarma,7891317445744,41.91,"R$ 34,55 ",6.29,15% ,35.62
"Adinos 0,5Mg G, Caixa Com 1 Bisnaga Com 15G De Gel Creme De Uso Dermatologico",Aché,7896658003165,21.57,"R$ 17,78 ",3.24,15% ,18.33
"Dexametasona Ems 4Mg, Caixa Com 10 Comprimidos",EMS,7896004712147,15.18,"R$ 14,28 ",0.46,3% ,14.719999999999999
"Propionato De Clobetasol Neo Quimica 0,5Mg G, Caixa Com 1 Bisnaga Com 30G De Pomada De Uso Dermatologico",Neo Química,7896714207018,24.61,"R$ 19,57 ",4.43,18% ,20.18
"Prednisolona Prati-Donaduzzi 20Mg, Caixa Com 10 Comprimidos",Prati-Donaduzzi,7899547527971,20.96,"R$ 13,62 ",6.92,33% ,14.040000000000001
"Propionato De Clobetasol Neo Quimica 0,50Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico",Neo Química,7896714209852,24.25,"R$ 21,18 ",2.42,10% ,21.83
"Cimecort 20Mg G + 0,64Mg G + 2,5Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico",Cimed,7896523206691,30.9,"R$ 14,28 ",16.18,52% ,14.719999999999999
"Trok Cetoconazol 20mg + Betametasona 0,5mg Pomada 30g Eurofarma",Não especificada,7891317025540,40.36,"R$ 33,28 ",6.05,15% ,34.31
Cetobeta creme bisnaga 30g,Não especificada,7893454100630,39.99,"R$ 25,85 ",13.34,33% ,26.650000000000002
Valerato de Betametasona 1mg g Solução 50ml Neo Química Genérico,Neo Química,7896714224114,49.48,"R$ 41,76 ",6.43,13% ,43.05
Pomada Dermatológico Trok-N 10g,Eurofarma,7891317412555,20.76,"R$ 17,12 ",3.11,15% ,17.650000000000002
"Cetoconazol + Dipropionato De Betametasona + Sulfato De Neomicina Medley 20Mg G + 0,5Mg G + 2,5Mg G, Caixa Contendo 1 Bisnaga Com 30G De Creme De Uso Dermatologico",Medley,7896422507301,31.74,"R$ 29,87 ",0.95,3% ,30.79
"Cetoconazol + Dipropionato De Betametasona + Sulfato De Neomicina Eurofarma 20Mg G + 0,64Mg G + 2,5Mg G, Caixa Com 1 Bisnaga Com 30G De Pomada De Uso Dermatologico",Eurofarma,7891317002497,27.08,"R$ 25,48 ",0.81,3% ,26.27
Prednisolona 20mg Germed 10 Comprimidos,Germed Pharma,7896004733241,21.61,"R$ 13,00 ",8.21,38% ,13.399999999999999
"Predsim Gotas 11Mg Ml, Caixa Com 1 Frasco Gotejador Com 20Ml De Solucao De Uso Oral",Cosmed,7891142177124,44.79,"R$ 36,49 ",7.17,16% ,37.62
Prelone Gotas Aché 20mL,Aché,7896658011276,37.88,"R$ 31,23 ",5.68,15% ,32.2
"Decadron 4Mg, Caixa Com 10 Comprimidos",Aché,7896658003141,25.06,"R$ 20,66 ",3.76,15% ,21.299999999999997
"Icacort 1Mg G + 10Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico",Leo Pharma,5702191025644,44.64,"R$ 39,40 ",4.02,9% ,40.620000000000005
"Topison 1Mg G, Caixa Com 1 Bisnaga Com 20G De Creme De Uso Dermatologico",Libbs,7896094201767,71.87,"R$ 59,26 ",10.78,15% ,61.09
"Betatrinta 5Mg Ml + 2Mg Ml, Caixa Com 1 Ampola Com 1Ml De Suspensao De Uso Intramuscular + Seringa Dosadora",Eurofarma,7891317103323,30.15,"R$ 24,86 ",4.52,15% ,25.63
Baycuten N Creme 40Gr,Bayer,7891106000956,48.22,"R$ 39,76 ",7.23,15% ,40.989999999999995
"Cetoconazol + Dipropionato De Betametasona Eurofarma 20Mg G + 0,5Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico",Eurofarma,7891317002442,26.74,"R$ 22,56 ",3.48,13% ,23.259999999999998
"Predsim Comprimido 5Mg, Caixa Com 10 Comprimidos",Cosmed,7891142981318,13.32,"R$ 12,92 ",0.0,0% ,13.32
Dexametasona Elixir Teu Gen,Teuto,7896112127666,15.19,"R$ 14,29 ",0.46,3% ,14.729999999999999
"Advantan Locao 1Mg G, Caixa Com 1 Bisnaga Com 20G De Emulsao De Uso Dermatologico",Leo Pharma,5702191025590,108.92,"R$ 89,80 ",16.34,15% ,92.58
"Diprospan 5Mg Ml + 2Mg Ml, Caixa Com 1 Ampola Com 1Ml De Suspensao De Uso Intramuscular + Seringa Dosadora",Cosmed,7891142142252,48.15,"R$ 42,51 ",4.33,9% ,43.82
Acetato de Hidrocortisona 10mg g Creme Dermatológico 20g União Química Genérico,União Química,7896006267072,15.04,"R$ 13,42 ",1.2,8% ,13.84
"Cetoconazol + Dipropionato De Betametasona Eurofarma 20Mg G + 0,5Mg G, Caixa Com 1 Bisnaga Com 30G De Pomada De Uso Dermatologico",Eurofarma,7891317002459,26.13,"R$ 23,32 ",2.09,8% ,24.04
Predsim 5mg Farmasa 20 Comprimidos,Cosmed,7891142981301,26.74,"R$ 22,05 ",4.01,15% ,22.729999999999997
"Prelone Solucao Oral 3Mg Ml, Caixa Com 1 Frasco Com 60Ml De Solucao De Uso Oral + 1 Pipeta Dosadora",Aché,7896658009518,30.7,"R$ 25,32 ",4.6,15% ,26.1
"Cetoconazol + Dipropionato De Betametasona + Sulfato De Neomicina Medley 20Mg G + 0,5Mg G + 2,5Mg G, Caixa Contendo 1 Bisnaga Com 30G De Pomada De Uso Dermatologico",Medley,7896422507318,30.94,"R$ 27,61 ",2.48,8% ,28.46
"Predsim Comprimido 40Mg, Caixa Com 7 Comprimidos",Cosmed,7891142177216,66.43,"R$ 56,06 ",8.64,13% ,57.790000000000006
Creme Dermatológico Trok-N Bisnaga 10g,Eurofarma,7891317412531,21.82,"R$ 17,99 ",3.27,15% ,18.55
"Postec 2,5Mg G + 150Utr G, Caixa Com 1 Bisnaga Com 20G De Pomada De Uso Dermatologico",Apsen,7896637025362,149.94,"R$ 136,71 ",9.0,6% ,140.94
Psorex Pomada 30 Gramas,GSK,7896269900631,51.33,"R$ 47,30 ",2.57,5% ,48.76
"Prednisona Neo Quimica 20Mg, Caixa Com 10 Comprimidos",Neo Química,7896714212104,25.22,"R$ 20,06 ",4.54,18% ,20.68
Celestone Betametasona 2mg 10 comprimidos,Cosmed,7891142128096,30.11,"R$ 25,41 ",3.91,13% ,26.2
Acetato De Dexametasona 1mg g EMS Creme Dermatológico 10g,Não especificada,7896004721903,12.64,"R$ 12,26 ",0.0,0% ,12.64
Flutivate 05mg creme dermatológico frasco com 15g,GSK,7896269900945,60.19,"R$ 49,63 ",9.03,15% ,51.16
Creme Dermatológico Cortigen Genom 20g,União Química,7896006214557,23.04,"R$ 22,35 ",0.0,0% ,23.04
Dordent 1Flaconete  3Ml,Hearst Laboratórios,7896888500120,7.46,"R$ 7,24 ",0.0,0% ,7.46
"Psorex Propionato de Clobetasol 0,5mg g Creme 30g",GSK,7896269900617,49.95,"R$ 46,03 ",2.5,5% ,47.45
Clob-X 30g Creme,Galderma,7897930760486,50.6,"R$ 41,72 ",7.59,15% ,43.010000000000005
"Decadron 0,5Mg 5Ml, Caixa Com 1 Frasco Com 120Ml De Elixir + Copo Dosador",Aché,7896658003554,34.75,"R$ 28,65 ",5.21,15% ,29.54
"Triancinolona Acetonida Eurofarma 1Mg G, Caixa Com 1 Bisnaga Com 10G De Pomada De Uso Bucal",Eurofarma,7891317465643,15.75,"R$ 14,06 ",1.26,8% ,14.49
Prednisolona 3mg Genérico Biosintética 120mL,Biosintética - Aché,7896181914303,37.39,"R$ 33,37 ",2.99,8% ,34.4
Trok-N Creme 30g,Eurofarma,7891317445737,41.91,"R$ 35,37 ",5.45,13% ,36.459999999999994
Creme Dermatológico Trok Bisnaga 30g,Eurofarma,7891317025571,40.36,"R$ 34,06 ",5.25,13% ,35.11
Valerato De Betametasona 1mg G Creme Dermatológico 30g Germed Genérico,Não especificada,7898216369652,27.63,"R$ 20,64 ",6.35,23% ,21.28
AD-Muc Pomada com 10g,Biolab,7896112452461,53.08,"R$ 45,82 ",5.84,11% ,47.239999999999995
"Novacort 20mg + 0,64mg + 2,5mg Creme",Aché,7896658007088,21.97,"R$ 18,75 ",2.64,12% ,19.33
"Adinos 0,5Mg G, Caixa Com 1 Bisnaga Com 30G De Gel Creme De Uso Dermatologico",Aché,7896658002960,43.13,"R$ 35,56 ",6.47,15% ,36.660000000000004
Dexametasona Creme 1mg g Genérico União Química 10g,União Química,7896006267010,11.04,"R$ 10,71 ",0.0,0% ,11.04
Emistin EMS Creme 20g,EMS,7896004714295,46.34,"R$ 28,86 ",16.59,36% ,29.750000000000004
"Diprosone 0,5mg ml pomada bisnaga 30g",Cosmed,7891142141293,57.07,"R$ 48,16 ",7.42,13% ,49.65
Valerato de Betametasona 1mg Medley Pomada 30g,Medley,7896422505338,25.83,"R$ 24,31 ",0.77,3% ,25.06
Diprosalic 064 + 20mg solução frasco com 30ml,Cosmed,7891142142221,55.71,"R$ 45,93 ",8.36,15% ,47.35
"Cetoconazol + Dipropionato De Betametasona + Sulfato De Neomicina Eurofarma 20Mg G + 0,5Mg G + 2,5Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico",Eurofarma,7891317002503,29.02,"R$ 27,31 ",0.87,3% ,28.15
Protetor Solar Vichy Ideal Soleil Purify FPS 70 40g,Vichy,7899706192965,85.85,"R$ 83,27 ",0.0,0% ,85.85
Predsim 10mg 10 Comprimidos Revestidos,Não especificada,7891142982889,21.35,"R$ 16,98 ",3.84,18% ,17.51
Pomada Dermatológico Trok 10g,Eurofarma,7891317025533,19.72,"R$ 16,26 ",2.96,15% ,16.759999999999998
Meticorten Prednisona 20mg 10 comprimidos,Organon,7897337712576,34.03,"R$ 30,04 ",3.06,9% ,30.970000000000002
Permese Suspensao Injetavel 1 Ml+Seringa,Eurofarma,7891317015343,30.15,"R$ 24,86 ",4.52,15% ,25.63
Prednisolona Eurofarma Solução Gotas 20ml,Não especificada,7891317004347,27.14,"R$ 25,54 ",0.81,3% ,26.330000000000002
"Cetoconazol 20mg g + Dipropionato De Betametasona 0,5mg g Medley Creme Dermatológico 30g",Não especificada,7896422506274,30.47,"R$ 27,19 ",2.44,8% ,28.029999999999998
Gel Bucal Gengi Baby 10g,Biolab,7896112401926,81.98,81.98,17.19,21% ,64.79
"Predsim Solucao Oral 3Mg Ml, Caixa Com 1 Frasco Com 60Ml De Solucao De Uso Oral + Dosador",Cosmed,7891142177162,36.29,36.29,5.44,15% ,30.849999999999998
Trinulox Creme 15g,EMS,7896004726502,110.33,110.33,27.16,25% ,83.17
"Predsim Solucao Oral 3Mg Ml, Caixa Com 1 Frasco Com 100Ml De Solucao De Uso Oral + Dosador",Cosmed,7891142177155,62.66,62.66,9.4,15% ,53.26
"Suavicid 40mg + 0,5mg + 0,1mg Creme com 30g",Legrand,7896004728704,218.08,218.08,67.6,31% ,150.48000000000002
Decadron 2mg mL Solução Injetável 2 ampolas,Aché,7896658003172,17.27,17.27,2.07,12% ,15.2
Prednisolona 40mg Eurofarma 70 Comprimidos,Eurofarma,7891317004330,41.19,41.19,9.47,23% ,31.72
"Vitacid Plus Creme 0,1mg + 40g + 0,5mg Theraskin 15g",Theraskin,7897129302541,140.45,140.45,21.07,15% ,119.38
"Esperson-N 2,5Mg G, Caixa Com 1 Bisnaga Com 20G De Pomada De Uso Dermatologico",Sanofi,7891058260071,53.21,53.21,7.98,15% ,45.230000000000004
"Desonida 0,5mg g Creme Dermatológico 30g",Medley,7896422508957,36.77,36.77,4.78,13% ,31.990000000000002
"Diprosone 0,64mg g Creme",Cosmed,7891142141279,54.59,54.59,8.19,15% ,46.400000000000006
Prednisolona 3mg Genérico Biosintética 60mL,Biosintética - Aché,7896181914280,18.95,18.95,0.57,3% ,18.38
Acetato de Hidrocortisona 10mg g Teuto Creme com 15g,Não especificada,7896112132936,14.16,14.16,1.84,13% ,12.32
Halobex Creme 30g,Glenmark,7897473206403,22.33,22.33,1.79,8% ,20.54
"Berlison 10mg/g, caixa com 1 bisnaga com 15g de creme de uso dermatológico﻿",Bayer,7795320000849,17.55,17.55,1.75,10% ,15.8
"Cimecort 20mg/g + 0,64mg/g + 2,5mg/g, caixa com 1 bisnaga com 15g de creme de uso dermatológico",Cimed,7896523207780,19.0,19.0,7.96,42% ,11.04
"Coliaft 1mg/g, caixa com 1 bisnaga com 10g de pasta de uso dermatológico",EMS,7896004759586,15.44,15.44,8.65,56% ,6.789999999999999
"Betametasona Elixir 0,5mg 5ml EMS 120ml",EMS,7896004704616,25.27,"R$ 20,21 ",4.44,18% ,20.83
Mel Rosado Farmax 30mL,Farmax,7896902210813,7.88,"R$ 6,88 ",0.79,10% ,7.09
Prelone Prednisolona 5mg 20 Comprimidos,Não especificada,7896658005763,22.69,"R$ 18,71 ",3.4,15% ,19.290000000000003
Therapsor Capilar Theraskin 25mL,Theraskin,7897129304200,42.73,"R$ 35,23 ",6.41,15% ,36.31999999999999
"Dipropionato De Betametasona Ems 0,5Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico",EMS,7896004711850,32.73,"R$ 30,80 ",0.98,3% ,31.749999999999996
"Triancinolona Acetonida Prati-Donaduzzi 1Mg G, Caixa Com 1 Bisnaga Com 10G De Pomada De Uso Bucal",Prati-Donaduzzi,7898148293490,15.59,"R$ 13,15 ",2.03,13% ,13.56
"Candicort 20Mg G + 0,64Mg G, Caixa Com 1 Bisnaga Com 30G De Pomada De Uso Dermatologico",Aché,7896658001123,42.87,"R$ 35,35 ",6.43,15% ,36.44
Diprosalic 064 + 30mg pomada bisnaga com 30g,Cosmed,7891142142214,44.8,"R$ 37,81 ",5.82,13% ,38.98
"Mel Rosado Adv Farma 10 , Frasco Com 30Ml De Solucao Topica",ADV Farma,7896230302068,18.34,"R$ 16,01 ",1.83,10% ,16.509999999999998
Acetato de Hidrocortisona 10mg g Teuto Creme com 30g,Teuto,7896112132974,25.54,"R$ 21,55 ",3.32,13% ,22.22
"Prednisolona Legrand 20mg, caixa com 10 comprimidos",Legrand,7894916146852,19.67,19.67,7.47,38% ,12.200000000000003
"Dexametasona Legrand 4mg, caixa com 10 comprimidos",Legrand,7894916141499,14.0,14.0,0.42,3% ,13.58
"Deflazacorte Nova Química 30mg, caixa com 10 comprimidos",Nova Química,7895296277174,125.0,125.0,28.75,23% ,96.25
"Esperson 2,5Mg G, Caixa Com 1 Bisnaga Com 20G De Pomada De Uso Dermatologico",Sanofi,7891058263096,53.08,53.08,7.96,15% ,45.12
Prednisona 5mg Germed 20 Comprimidos,Germed Pharma,7896004708003,17.06,17.06,2.22,13% ,14.839999999999998
"Prednisona Ems 10mg, caixa com 10 comprimidos",EMS,7896004706313,24.94,24.94,5.74,23% ,19.200000000000003
"Celestone 0,5mg Cosmed 20 Comprimidos",Não especificada,7891142128133,22.24,22.24,2.0,9% ,20.24
Fosfato Sódico de Prednisolona 3mg mL Solução Oral 120mL Aché Biosintética Genérico,Vitamedic,7898049796861,32.52,32.52,0.98,3% ,31.540000000000003
Xafac Rivaroxabana 10mg 10 Comprimidos,Não especificada,7896637032940,68.02,68.02,3.4,5% ,64.61999999999999
"Betametasona 0,1mg mL EMS Elixir com 120mL",Prati-Donaduzzi,7898148296101,23.57,23.57,1.89,8% ,21.68
Etna 25mg + 15mg + 1mg com 20 cápsulas,Gross,7892828001337,62.3,"R$ 58,62 ",1.87,3% ,60.43
Lacday 10.000U.Fcc 60 Comprimidos Mastigáveis,Não especificada,7896004759975,134.41,"R$ 118,60 ",12.14,9% ,122.27
Mestinon 60 Mg 60 Comprimidos,Cellera Farma,7893454101569,54.63,"R$ 45,05 ",8.19,15% ,46.440000000000005
"Dexa-Citoneurin Nff 100Mg + 100Mg + 5Mg + 4,37Mg, Caixa Com 3 Ampolas Com 1Ml De Solucao De Uso Intramuscular + 3 Ampolas Com 2Ml De Diluente",P&G,7891721024481,52.59,"R$ 45,91 ",5.26,10% ,47.330000000000005
Pastilha Benalet Sabor Mel e Limão 12 unidades,Arese Pharma,7899824400980,78.35,"R$ 64,60 ",11.75,15% ,66.6
Suplemento Alimentar Fixare Pro+ 60 Comprimidos,Não especificada,7894916514613,308.63,308.63,108.08,35% ,200.55
"Sanasar Emulsao 250Mg Ml, Caixa Com 1 Frasco Com 100Ml De Emulsao De Uso Dermatologico",Kley Hertz Farmacêutica,7896331704037,23.68,"R$ 22,42 ",0.57,2% ,23.11
Permetrina 10mg g Loção 60ml Prati,Prati-Donaduzzi,7899547515022,23.89,"R$ 21,32 ",1.91,8% ,21.98
Foldan Pom 45Gr,União Química,7896006236009,43.76,"R$ 38,52 ",4.05,9% ,39.71
"Albendazol Prati-Donaduzzi 400Mg, Caixa Com 3 Comprimidos Mastigaveis",Prati-Donaduzzi,7899547527650,25.08,"R$ 22,38 ",2.01,8% ,23.07
Betnovate 1mg Creme com 30g,GSK,7896269900303,55.8,55.8,2.79,5% ,53.01
Fosfato Sódico de Prednisolona 3mg mL Solução Oral 100mL Prati Donaduzzi Genérico,Prati-Donaduzzi,7898148296477,34.7,34.7,9.72,28% ,24.980000000000004
Drenison N 30g Creme Biolab,Biolab,7896241270400,44.27,44.27,6.64,15% ,37.63
Prednisona 20mg 10 Comprimidos Biosintética,Biosintética - Aché,7896181924173,20.66,20.66,1.65,8% ,19.01
Clotrimazol+Acetato Dexametasona 40g Genérico,Medley,7896422507202,27.96,27.96,5.03,18% ,22.93
Emscort Creme EMS 30g,EMS,7896004704135,40.25,40.25,16.42,41% ,23.83
Valerato de Betametasona 1mg g Creme 30g Neo Química,Germed Pharma,7896004708881,27.61,27.61,3.59,13% ,24.02
Meticorten 5mg 20 comprimidos,Organon,7897337712590,25.26,25.26,3.79,15% ,21.470000000000002
Prelone 3mg Solução com 120mL,Aché,7896658009532,54.39,54.39,8.16,15% ,46.230000000000004
Etna 25mg + 15mg + 1mg com 50 cápsulas,Gross,7892828001344,155.84,"R$ 133,03 ",18.7,12% ,137.14000000000001
Cetobeta pomada bisnaga com 30g,Não especificada,7893454100647,39.99,"R$ 25,83 ",13.36,33% ,26.630000000000003
"Corticorten 20Mg, Caixa Com 20 Comprimidos",Neo Química,7896714200699,30.63,"R$ 15,70 ",14.44,47% ,16.189999999999998
"Decadron 0,5mg 20 Comprimidos",Aché,7896658003516,11.98,"R$ 9,87 ",1.8,15% ,10.18
Creme Dermatológico Trok Bisnaga 10g,Não especificada,7891317025564,20.28,"R$ 17,11 ",2.64,13% ,17.64
"Prednisona Neo Quimica 5Mg, Caixa Com 20 Comprimidos",Neo Química,7896714212081,17.27,"R$ 15,41 ",1.38,8% ,15.89
"Acetato De Dexametasona Prati-Donaduzzi 1Mg G, Caixa Com 1 Bisnga Com 10G De Creme De Uso Dermatologico",Prati-Donaduzzi,7898148294596,12.51,"R$ 11,77 ",0.38,3% ,12.129999999999999
Triancinolona Acetonida 1mg EMS Pomada 10g,Não especificada,7896004712048,15.9,"R$ 11,87 ",3.66,23% ,12.24
Furoato de Mometasona 1mg g Neo Química Creme Dermatológico 20g,Não especificada,7896714218892,50.95,"R$ 40,53 ",9.17,18% ,41.78
Dexametasona 4mg 10 Comprimidos - Teuto,Não especificada,7896112194576,15.18,"R$ 14,28 ",0.46,3% ,14.719999999999999
Corticorten 5mg 20 Comprimidos Neo Química,Neo Química,7896714200705,17.55,"R$ 10,47 ",6.76,39% ,10.790000000000001
Duoflam injetável com 1 ampoula 1mL,Não especificada,7896676410198,31.77,"R$ 27,12 ",3.81,12% ,27.96
"Decadron 0,75mg Aché 20 Comprimidos",Aché,7896658003523,14.92,"R$ 12,30 ",2.24,15% ,12.68
Furoato de Mometasona Creme 1  Genérico EMS 20g,Não especificada,7896004715537,38.01,"R$ 33,92 ",3.04,8% ,34.97
Fosfato Sódico de Prednisolona 3mg mL Solução Oral 120mL,Não especificada,7891317004361,37.35,"R$ 35,14 ",1.12,3% ,36.230000000000004
"Predsim Comprimido 40Mg, Caixa Com 10 Comprimidos",Cosmed,7891142981271,89.38,"R$ 73,69 ",13.41,15% ,75.97
Acetato de Dexametasona Creme 1mg Genérico 10g,Não especificada,7895296449267,12.65,"R$ 12,27 ",0.0,0% ,12.65
Deflazacorte 6mg Genérico EMS 20 Comprimidos,EMS,7896004709307,59.46,"R$ 50,18 ",7.73,13% ,51.730000000000004
Novacort 200 + 064 + 25mg creme dermatológico bisnaga com 30g,Aché,7896658000560,45.21,"R$ 39,91 ",4.07,9% ,41.14
Deflazacorte 30 mg 10 comprimidos,EMS,7896004709291,142.06,"R$ 106,11 ",32.67,23% ,109.39
"Dexametasona Germed Pharma 1Mg G, Caixa Com 1 Bisnaga Com 10G De Creme De Uso Dermatologico",Germed Pharma,7896004721897,12.65,"R$ 11,29 ",1.01,8% ,11.64
"Ivermectina Germed 6Mg, Caixa Com 4 Comprimidos",Não especificada,7896004777801,35.19,"R$ 23,89 ",10.56,30% ,24.629999999999995
Sanasar Sabonete 80 Gramas,Kley Hertz Farmacêutica,7896331700121,23.49,"R$ 22,00 ",0.81,3% ,22.68
"Pediderm 0,2mg ml Shampoo 100ml",Cifarma,7898158690401,27.82,"R$ 20,18 ",7.02,25% ,20.8
Pediletan locao capilar 60ml,Cimed,7896523209364,29.49,"R$ 20,02 ",8.85,30% ,20.64
Parasin 400mg 1 comprimido,Não especificada,7896658002687,17.0,"R$ 14,51 ",2.04,12% ,14.96
"Albendazol Prati-Donaduzzi 400Mg, Caixa Com 5 Comprimidos Mastigaveis",Prati-Donaduzzi,7899547527681,42.08,"R$ 35,51 ",5.47,13% ,36.61
Deltalab Loção 100mL,Não especificada,7896472500253,20.87,"R$ 16,20 ",4.17,20% ,16.700000000000003
"Pediderm 0,2Mg Ml, Caixa Com 1 Frasco Com 100Ml De Locao De Uso Dermatologico",Cifarma,7898158690395,27.82,"R$ 24,29 ",2.78,10% ,25.04
"Ivermectina Vitamedic 6Mg, Caixa Com 4 Comprimidos",Vitamedic,7898049793310,34.37,34.37,9.6,28% ,24.769999999999996
"Albendazol Prati-Donaduzzi 40Mg Ml, Caixa Com 1 Frasco Com 10Ml De Suspensao De Uso Oral",Prati-Donaduzzi,7898148292936,8.92,8.92,0.27,3% ,8.65
"Kwell 10mg/g, caixa com 1 frasco com 60mL de loção de uso capilar",Aspen Pharma,7895858016814,39.37,39.37,5.91,15% ,33.459999999999994
Ivermectina 6Mg 2Cpr L2 Vitamedic,Vitamedic,7898049792351,20.06,20.06,6.62,33% ,13.439999999999998
Deltametrina Shampoo 100mL,Medquímica,7896862912017,32.96,32.96,3.3,10% ,29.66
"Parasin 40Mg Ml, Caixa Contendo 1 Frasco Com 10Ml De Suspensao De Uso Oral",Aché,7896658002670,16.44,16.44,2.47,15% ,13.97
Keltrina Plus 5  Loção Cremosa 60mL,Multilab,7896472502745,45.37,45.37,9.07,20% ,36.3
"Ivermectina Germed 6Mg, Caixa Com 2 Comprimidos",Não especificada,7896004777795,19.27,19.27,6.36,33% ,12.91
