Nome,Marca,EAN,Preço sem desconto,Preço no pix,Valor do desconto,Porcentagem desconto,Preço com Desconto
"Rivaroxabana 10Mg Ems, Caixa Com 30 Comprimidos Revestidos",EMS,7896004766997,247.08,"R$ 40,74 ",205.08,83% ,42.0
"Level 100Mcg + 20Mcg, Caixa Com 21 Comprimidos Revestidos",Biolab,7896241248287,29.37,"R$ 23,36 ",5.29,18% ,24.080000000000002
"Drospirenona + Etinilestradiol Althaia 3Mg + 0,03Mg, Caixa Com 21 Comprimidos Revestidos",Althaia,7898945030014,51.86,"R$ 43,77 ",6.74,13% ,45.12
"Tamisa 20 0,075Mg + 0,020Mg, Caixa Com 63 Comprimidos Revestidos",Eurofarma,7891317465032,91.1,"R$ 72,46 ",16.4,18% ,74.69999999999999
Triquilar 21 Comprimidos Revestidos,União Química,7896006201977,13.08,"R$ 10,41 ",2.35,18% ,10.73
"Gestinol 0,075Mg + 0,030Mg, Caixa Com 28 Comprimidos Revestidos",Libbs,7896094201248,66.75,"R$ 53,10 ",12.01,18% ,54.74
"Neovlar 0,25Mg + 0,05Mg, Caixa Com 21 Drageas",União Química,7896006201687,9.53,"R$ 7,58 ",1.72,18% ,7.81
"Ceci 1Mg + 2Mg, Caixa Com 28 Comprimidos Revestidos",Libbs,7896094210424,98.54,"R$ 78,38 ",17.74,18% ,80.80000000000001
Siblima 0015 + 60mg caixa com 24 comprimidos revestidos,Libbs,7896094201453,44.89,"R$ 35,71 ",8.08,18% ,36.81
Gracial 025 + 0040 + 0125 + 0030mg caixa com 22 comprimidos,Organon,7897337716239,59.62,"R$ 43,38 ",14.9,25% ,44.72
"Mylus 0,075Mg, Caixa Com 28 Comprimidos Revestidos",União Química,7896006231134,47.66,"R$ 23,12 ",23.83,50% ,23.83
"Diad 1,5mg 1 Comprimido",Não especificada,7896523216812,22.25,"R$ 14,03 ",7.79,35% ,14.46
"Amora 2mg + 0,03mg 21 Comprimidos",Eurofarma,7891317004040,47.72,"R$ 37,96 ",8.59,18% ,39.129999999999995
"Drospirenona + Etinilestradiol 3Mg + 0,03Mg Eurofarma 63 Comprimidos",Eurofarma,7891317021931,122.14,"R$ 73,46 ",46.41,38% ,75.73
"Iumi 3Mg + 0,02Mg, Caixa Com 24 Comprimidos Revestidos",Libbs,7896094208094,74.02,"R$ 58,88 ",13.32,18% ,60.699999999999996
