Nome,Marca,EAN,Preço,Preço com desconto,Valor do desconto,Porcentagem de desconto
Ofolato com 30 Comprimidos - Hypera,HYPERA,7896094916203,74.99,74.99,0.0,0.0
Tamarine Geleia Zero Açúcar - 250g,HYPERA,7897322709802,121.49,103.27,18.22,15.0
Tamarine Geleia Zero Açúcar - 150g,HYPERA,7897322709789,90.57,76.98,13.58999999999999,15.0
Lisador Dip 1g com 10 Comprimidos - Hypera,HYPERA,7896094916227,23.89,16.9,6.990000000000002,29.3
Biotônico Fontoura Sabor Uva com 400ml - Hypera,HYPERA,7896094915732,37.9,36.69,1.2100000000000009,3.2
Biotônico Fontoura Sabor Morango com 400ml - Hypera,HYPERA,7896094915060,37.9,37.21,0.6899999999999977,1.8
Addera D3 50.000ui com 10 Comprimidos - Hypera,HYPERA,7897322709536,282.25,239.91,42.34,15.0
Addera D3 10.000ui com 10 Comprimidos - Hypera,HYPERA,7897322709505,114.22,97.09,17.129999999999995,15.0
Lisador Dip 1g com 4 Comprimidos - Hypera,HYPERA,7896094916289,10.31,8.76,1.5500000000000007,15.0
Velunid 500mg com 30 Comprimidos - Hypera,HYPERA,7891142202178,82.03,65.98,16.049999999999997,19.6
Lisador Dip 1g com 20 Comprimidos - Hypera,HYPERA,7896094916234,42.98,37.82,5.159999999999997,12.0
Maracugina PI com 150ml - Hypera,HYPERA,7896094918924,55.65,47.3,8.350000000000001,15.0
Novotram 50mg com 10 Cápsulas - Hypera,HYPERA,7896094915886,62.58,53.82,8.759999999999998,14.0
Addera D3 10.000ui com 10 Cápsulas em Gel - Hypera,HYPERA,7897322709994,114.22,97.09,17.129999999999995,15.0
Alivium 400mg com 3 Cápsulas - Hypera,HYPERA,7891142203410,9.88,6.9,2.9800000000000004,30.2
Addera D3 10.000ui com 4 Cápsulas em Gel - Hypera,HYPERA,7897322709987,64.76,55.05,9.710000000000008,15.0
Addera D3 50.000ui com 10 Cápsulas em Gel - Hypera,HYPERA,7897322709765,282.25,239.91,42.34,15.0
Blumel Hedera Xarope Infantil 15mg - 100ml,HYPERA,7896714274799,36.4,28.46,7.939999999999998,21.8
Nesina Pio 25mg + 15mg com 30 Comprimidos - Hypera,HYPERA,7896094999534,262.44,203.45,58.99000000000001,22.5
Predsim 40mg com 10 Comprimidos - Hypera,HYPERA,7891142177209,89.37,75.96,13.41000000000001,15.0
Alivium 400mg com 20 Cápsulas - Hypera,HYPERA,7891142203434,54.7,46.5,8.200000000000003,15.0
Predsim 20mg com 20 Comprimidos - Hypera,HYPERA,7891142200143,71.65,60.9,10.750000000000007,15.0
Ofolato com 90 Comprimidos - Hypera,HYPERA,7896094917408,159.9,158.52,1.3799999999999955,0.9
Tamarine Fibras Kids Sabor Morango - 240ml,HYPERA,7896094916524,60.9,60.9,0.0,0.0
Gelol Gel Massageador - 60g,HYPERA,7896094916890,41.79,31.14,10.649999999999999,25.5
Rinosoro Jet Spray Infantil com 100ml - Hypera,HYPERA,7896094917385,49.8,36.9,12.899999999999999,25.9
Addera D3 2.000ui com 30 Cápsulas - Hypera,HYPERA,7896094917712,59.9,55.42,4.479999999999997,7.5
Rinosoro XT com 30ml - Hypera,HYPERA,7896094917002,26.93,25.31,1.620000000000001,6.0
Addera D3 5.000ui com 30 Comprimidos - Hypera,HYPERA,7897322709970,124.45,105.78,18.67,15.0
Fluviral Noite com 20 Comprimidos - Hypera,HYPERA,7896094916845,42.53,37.43,5.100000000000001,12.0
Fluviral Dia com 20 Comprimidos - Hypera,HYPERA,7896094918610,42.53,37.43,5.100000000000001,12.0
Fluviral Noite com 4 Comprimidos - Hypera,HYPERA,7896094916876,12.64,10.74,1.9000000000000004,15.0
Fluviral Dia com 4 Comprimidos - Hypera,HYPERA,7896094915527,11.77,10.0,1.7699999999999996,15.0
Atrofem 400mg com 2 Cápsulas - Hypera,HYPERA,7896094914995,6.98,5.93,1.0500000000000007,15.0
Bifilac - 30 Cápsulas,HYPERA,7891142203113,99.9,93.56,6.340000000000003,6.3
Benegrip Multi Dia 800mg + 20mg com 20 Comprimidos - Hypera,HYPERA,7896094918108,45.13,38.36,6.770000000000003,15.0
Benegrip Multi Noite 800mg + 20mg + 4mg com 4 Comprimidos - Hypera,HYPERA,7896094918122,12.49,10.62,1.870000000000001,15.0
Benegrip Multi Dia 800mg + 20mg com 4 Comprimidos - Hypera,HYPERA,7896094918115,12.49,10.62,1.870000000000001,15.0
Benegrip Multi Noite 800mg + 20mg + 4mg com 20 Comprimidos - Hypera,HYPERA,7896094918139,45.13,38.36,6.770000000000003,15.0
Atroveran Dip 1g com 20 Comprimidos - Hypera,HYPERA,7896094915381,27.3,21.71,5.59,20.5
Emprol XR 25mg com 30 Comprimidos - Hypera,HYPERA,7898577810732,32.87,25.88,6.989999999999998,21.3
Emprol XR 50mg com 30 Comprimidos - Hypera,HYPERA,7898577810770,68.03,54.91,13.120000000000005,19.3
Emprol XR 100mg com 30 Comprimidos - Hypera,HYPERA,7898577810817,108.01,93.53,14.480000000000004,13.4
Gastrol Sabor Limão com 1 Sachê Efervescente - Hypera,HYPERA,7896094918641,3.9,3.32,0.5800000000000001,14.9
Gastrol Sabor Laranja - 1 Sachê Pó Efervescente,HYPERA,7896094918658,3.9,3.32,0.5800000000000001,14.9
Gastrol Sabor Abacaxi - 1 Sachê Pó Efervescente,HYPERA,7896094918665,3.9,3.32,0.5800000000000001,14.9
Addera Cal 2.000UI com 30 Comprimidos - Hypera,HYPERA,7896094921122,109.69,93.24,16.450000000000003,15.0
Addera Cal 1.000UI com 30 Comprimidos - Hypera,HYPERA,7896094921153,98.82,84.0,14.819999999999993,15.0
Vitasay 50+ A-Z Homem+Cafeína - 30 Comprimidos,HYPERA,7896094917965,59.99,58.03,1.9600000000000009,3.3
Vitasay 50 + Imune - 30 Cápsulas,HYPERA,7896094918047,41.99,29.9,12.090000000000003,28.8
Vitasay 50+ AZ Mulher - 30 Comprimidos,HYPERA,7896094917989,54.99,54.99,0.0,0.0
Aipri 15mg com 30 Comprimidos - Hypera,HYPERA,7896094917057,426.88,339.6,87.27999999999997,20.4
Atroveran Dip 1g com 4 Comprimidos - Hypera,HYPERA,7896094915404,6.99,5.94,1.0499999999999998,15.0
Addera d3 50.000ui c/8 cpr,HYPERA,7896094917866,236.66,201.16,35.5,15.0
Tamarine Probium - 30 Cápsulas,HYPERA,7896094917682,94.9,94.9,0.0,0.0
Addera D3 10.000ui com 4 Comprimidos - Hypera,HYPERA,7897322709499,64.76,55.05,9.710000000000008,15.0
Atroveran Dip Gotas com 20ml - Hypera,HYPERA,7896094917460,22.49,21.14,1.3499999999999979,6.0
Addera D3 50000ui com 8 Cápsulas - Hypera,HYPERA,7896094917873,236.66,201.16,35.5,15.0
Rinosoro Jet XT Spray com 100ml - Hypera,HYPERA,7896094917835,64.95,51.9,13.050000000000004,20.1
Lisador Dip em Gotas 500mg com 20ml - Hypera,HYPERA,7896094919396,26.74,25.14,1.5999999999999979,6.0
Artrotop Creme - 50g,HYPERA,7896094918757,53.9,53.9,0.0,0.0
Artroflan 150mg com 40 Comprimidos - Hypera,HYPERA,7896094918436,189.99,147.1,42.890000000000015,22.6
Addera D3 1000ui Gotas 5ml - Hypera,HYPERA,7896094918634,74.48,63.31,11.170000000000002,15.0
Addera D3 Gotas 600ui com 5ml - Hypera,HYPERA,7896094919594,87.21,74.13,13.079999999999998,15.0
Ofolato D Fer 2000ui - 30 Comprimidos,HYPERA,7896094919662,104.49,104.49,0.0,0.0
Colflex Trio - 30 Sachês,HYPERA,7896094920255,199.89,199.89,0.0,0.0
Rizi-M 10/5mg com 14 Comprimidos - Hypera,HYPERA,7891317017514,139.07,116.38,22.689999999999998,16.3
Rizi 5mg com 10 Comprimidos - Hypera,HYPERA,7896094918481,53.63,43.13,10.5,19.6
Rizi 5mg com 30 Comprimidos - Hypera,HYPERA,7896094918474,160.93,130.14,30.79000000000002,19.1
Rizi-M 10/5mg com 7 Comprimidos - Hypera,HYPERA,7896094918511,69.52,57.81,11.709999999999994,16.8
Maxsulid com 30 Comprimidos - Hypera,HYPERA,7896094917897,116.53,99.05,17.480000000000004,15.0
Aviv 100mg c/30 comprimidos,HYPERA,7896094927155,152.19,94.63,57.56,37.8
Quinoflox 500mg com 14 Comprimidos - Biolab,BIOLAB RX,7896241243558,43.51,40.9,2.6099999999999994,6.0
Livalo 2mg com 90 Comprimidos - Biolab,BIOLAB RX,7896112407270,196.54,153.16,43.379999999999995,22.1
Monessa Pós Parto 14g com 30 Sachês - Biolab,BIOLAB RX,7896112406853,252.99,215.04,37.95000000000002,15.0
Doss 15.000ui com 8 Cápsulas - Biolab Avert OTC,BIOLAB RX,7896112403265,64.95,55.21,9.740000000000002,15.0
Solly 5mg com 30 Comprimidos Revestidos - Biolab,BIOLAB RX,7896112407638,112.14,84.12,28.019999999999996,25.0
Extrato de Cannabis Promediol 200mg/ml - 30ml,BIOLAB RX,7898994979821,871.49,871.49,0.0,0.0
BIVOLET 5MG C/90 COMP,BIOLAB RX,7896112406983,150.53,113.4,37.129999999999995,24.7
Flavenos 900 +100mg com 30 Envelopes de 5g Cada - Biolab,BIOLAB RX,7896112407515,165.67,131.12,34.54999999999998,20.9
DOSS 50.000UI C/12 CAPS,BIOLAB RX,7896112400189,145.08,123.32,21.76000000000002,15.0
Tapazol 10mg 100 Comprimidos - Biolab,BIOLAB RX,7896112407102,75.51,59.07,16.440000000000005,21.8
Flavenoss 900 + 100mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112403517,120.34,96.2,24.14,20.1
Dozoito 100mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112402688,109.21,81.77,27.439999999999998,25.1
"Embo 2,5mg - 20 Comprimidos",BIOLAB RX,7896112406402,71.89,56.3,15.590000000000003,21.7
Embo 5mg - 60 Comprimidos,BIOLAB RX,7896112406464,223.92,166.12,57.79999999999998,25.8
Embo 5mg - 20 Comprimidos,BIOLAB RX,7896112406457,75.12,56.68,18.440000000000005,24.5
"Embo 2,5mg - 60 Comprimidos",BIOLAB RX,7896112406419,223.92,169.18,54.73999999999998,24.4
Cronobê Complex IM Injetável - 3 Ampolas de 2ml cada,BIOLAB RX,7896112406501,25.94,22.05,3.8900000000000006,15.0
AtivB 1000mcg com 30 Comprimidos - Biolab,BIOLAB RX,7896112403111,93.5,79.48,14.019999999999996,15.0
Ellura 200mg - 30 Cápsulas,BIOLAB RX,7896112406617,175.39,133.37,42.01999999999998,24.0
Cronobê Complex 100mg + 100mg + 5mg - 30 Comprimidos,BIOLAB RX,7896112406495,93.97,79.87,14.099999999999994,15.0
Provagin Gel Hidratante Intravaginal 30g - Com 10 Aplicadores,BIOLAB RX,7896112402275,78.71,69.26,9.449999999999989,12.0
Livalo 4mg com 60 Comprimidos - Biolab,BIOLAB RX,7896112406242,298.93,224.42,74.51000000000002,24.9
"Cronocor 12,5mg com 30 Comprimidos - Biolab",BIOLAB RX,7896112406044,19.54,14.58,4.959999999999999,25.4
Cronocor 25mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112406075,26.69,19.89,6.800000000000001,25.5
Cronocor 25mg com 60 Comprimidos - Biolab,BIOLAB RX,7896112406082,45.99,36.23,9.760000000000005,21.2
"Cronocor 3,125mg com 30 Comprimidos - Biolab",BIOLAB RX,7896112405986,14.3,10.62,3.6800000000000015,25.7
"Cronocor 6,25mg com 30 Comprimidos - Biolab",BIOLAB RX,7896112406013,19.54,14.52,5.02,25.7
Dacxi 15mg com 28 Comprimidos - Biolab Avert,BIOLAB RX,7896112403623,40.79,35.9,4.890000000000001,12.0
Dacxi 10mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112403579,133.21,117.22,15.990000000000009,12.0
Dacxi 20mg com 28 Comprimidos - Biolab Avert,BIOLAB RX,7896112403630,40.79,40.79,0.0,0.0
Endofer 100mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112406143,55.77,49.08,6.690000000000005,12.0
Endofer 50mg Gotas 30ml - Biolab,BIOLAB RX,7896112406129,35.09,30.88,4.210000000000004,12.0
"Novanlo 2,5mg com 90 Comprimidos - Biolab",BIOLAB RX,7896112422174,143.09,108.16,34.93000000000001,24.4
Novanlo 5mg com 90 Comprimidos - Biolab,BIOLAB RX,7896112422273,285.69,225.47,60.22,21.1
"Cor-select 2,5mg com 60 Comprimidos - Biolab Avert",BIOLAB RX,7898549755634,93.76,79.7,14.060000000000002,15.0
Cogit 16mg com 30 Cápsulas - Biolab,BIOLAB RX,7896112401834,217.24,204.21,13.030000000000001,6.0
Novanlo 5mg c/60 cpr,BIOLAB RX,7896112422235,277.28,205.65,71.62999999999997,25.8
Cogit 8mg com 30 Cápsulas - Biolab,BIOLAB RX,7896112401810,137.7,129.44,8.259999999999991,6.0
Drenison N Pomada 30g - Biolab,BIOLAB RX,7896241252420,44.58,39.23,5.350000000000001,12.0
Bhena 5mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112402480,77.78,68.45,9.329999999999998,12.0
Bhena 10mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112402497,77.78,68.45,9.329999999999998,12.0
"Flux SR 1,5mg com 30 Comprimidos - Biolab",BIOLAB RX,7896112402435,33.84,29.78,4.060000000000002,12.0
Dozoito 50mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112402671,72.83,54.7,18.129999999999995,24.9
Dozoito 25mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112402664,34.7,23.65,11.050000000000004,31.8
Ablok 100mg com 30 Comprimidos - Biolab RX,BIOLAB RX,7896241225530,60.84,44.9,15.940000000000005,26.2
Doss 3000ui com 30 Cápsulas - Biolab,BIOLAB RX,7896112400073,67.83,57.66,10.170000000000002,15.0
Nuit Flash 5mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112402442,54.92,37.56,17.36,31.6
Vonau Flash Menta 8mg com 10 Comprimidos - Biolab,BIOLAB RX,7896112401605,93.77,79.7,14.069999999999993,15.0
Ablok 25mg com 30 Comprimidos - Biolab RX,BIOLAB RX,7896241221853,15.54,3.73,11.809999999999999,76.0
"Ablok Plus 25/12,5 com 30 Comprimidos - Biolab RX",BIOLAB RX,7896241225257,25.54,19.0,6.539999999999999,25.6
"Ablok Plus 50/12,5mg com 30 Comprimidos - Biolab RX",BIOLAB RX,7896241225127,47.18,35.56,11.619999999999997,24.6
Ablok 50mg com 30 Comprimidos - Biolab RX,BIOLAB RX,7896241225523,37.18,28.16,9.02,24.3
Ablok Plus 100/25mg com 30 Comprimidos - Biolab RX,BIOLAB RX,7896241225547,76.1,57.36,18.739999999999995,24.6
Aradois 50mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112486787,56.73,5.9,50.83,89.6
Aradois 25mg com 60 Comprimidos - Biolab,BIOLAB RX,7896241241462,94.18,70.08,24.10000000000001,25.6
Aradois 100mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112427704,148.2,107.98,40.219999999999985,27.1
"Aradois H 50/12,5mg com 60 Comprimidos - Biolab",BIOLAB RX,7896112427933,146.29,124.35,21.939999999999998,15.0
"Aradois H 50/12,5mg com 30 Comprimidos - Biolab",BIOLAB RX,7896112435778,101.79,86.52,15.27000000000001,15.0
Aradois 25mg com 30 Comprimidos - Biolab,BIOLAB RX,7896241241394,55.27,41.82,13.450000000000003,24.3
Cronobe Injeção 5000mg com 2 Ampolas - Biolab,BIOLAB RX,7896112424444,44.2,37.57,6.630000000000003,15.0
Dtn-Fol com 90 Cápsulas - Biolab,BIOLAB RX,7896112407881,173.38,147.37,26.00999999999999,15.0
Drenison N Creme 30g - Biolab,BIOLAB RX,7896241270400,44.27,38.96,5.310000000000002,12.0
Drenison Oclusivo 200cm - Biolab,BIOLAB RX,7896241261248,140.18,119.15,21.03,15.0
Drenison Loção 30ml - Biolab,BIOLAB RX,7896112470458,53.71,47.26,6.450000000000003,12.0
Drenison Pomada 30g - Biolab,BIOLAB RX,7896241252970,46.84,41.22,5.6200000000000045,12.0
Drenison Creme 30g - Biolab,BIOLAB RX,7896241270363,46.5,40.92,5.579999999999998,12.0
Dreniformio Creme 30g - Biolab,BIOLAB RX,7896241256077,43.57,38.34,5.229999999999997,12.0
Gestrelan Cart com 63 Comprimidos - Biolab,BIOLAB RX,7896112403036,45.78,34.84,10.939999999999998,23.9
"Level 0,10/0,2 mg com 21 Comprimidos - Biolab",BIOLAB RX,7896241248287,29.38,19.74,9.64,32.8
Lipless 100mg com 30 Comprimidos - Biolab,BIOLAB RX,7896241248430,119.63,101.69,17.939999999999998,15.0
"Norestin 0,35mg com 35 Comprimidos - Biolab",BIOLAB RX,7896241274903,15.13,10.94,4.190000000000001,27.7
Pantogar com 90 Cápsulas - Biolab,BIOLAB RX,7896112425496,325.45,276.63,48.81999999999999,15.0
Pantogar com 30 Cápsulas - Biolab,BIOLAB RX,7896112425328,113.34,96.34,17.0,15.0
"Pressat 2,5mg com 30 Comprimidos - Biolab",BIOLAB RX,7896112432401,40.73,30.44,10.289999999999996,25.3
Pressat 5mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112477938,78.44,59.56,18.879999999999995,24.1
Press Plus 5/10mg com 30 Cápsulas - Biolab,BIOLAB RX,7896112470830,113.43,96.42,17.010000000000005,15.0
Press Plus 5/20mg com 30 Cápsulas - Biolab,BIOLAB RX,7896112471165,123.83,105.26,18.569999999999993,15.0
Propilracil 100mg 30 Comprimidos - Biolab,BIOLAB RX,7896241279908,33.22,28.24,4.98,15.0
Serenus com 20 Comprimidos - Biolab,BIOLAB RX,7896112480846,62.33,52.98,9.350000000000001,15.0
Stele Creme de Uso Vaginal - 50g,BIOLAB RX,7896112400608,67.17,51.02,16.15,24.0
Suprema 2mg/1mg com 28 Comprimidos - Biolab,BIOLAB RX,7896241265543,49.07,35.66,13.410000000000004,27.3
"Tantin 0,06mg/0,015mg com 28 Comprimidos - Biolab",BIOLAB RX,7896112424123,29.1,19.58,9.520000000000003,32.7
Tapazol 5mg com 100 Comprimidos - Biolab,BIOLAB RX,7896241231616,38.1,28.92,9.18,24.1
Triazol 150mg com 2 Cápsulas - Biolab,BIOLAB RX,7896112493440,56.93,48.39,8.54,15.0
Triazol 150mg com 1 Cápsula - Biolab,BIOLAB RX,7896112492740,34.74,30.57,4.170000000000002,12.0
Vasopril 10mg com 30 Comprimidos - Biolab,BIOLAB RX,7896241293669,39.45,6.69,32.760000000000005,83.0
"Vasopril Plus 20/12,5 com 30 Comprimidos - Biolab",BIOLAB RX,7896241293553,101.08,77.38,23.700000000000003,23.4
Vaslip 20mg com 30 Comprimidos - Biolab,BIOLAB RX,7896241228142,40.04,25.8,14.239999999999998,35.6
Vasopril 20mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112493587,111.54,85.08,26.460000000000008,23.7
Vaslip 10mg com 30 Comprimdos - Biolab,BIOLAB RX,7896241293737,23.62,17.7,5.920000000000002,25.1
"Vasopril Plus 20/12,5 com 60 Comprimidos - Biolab",BIOLAB RX,7896112470311,163.62,125.56,38.06,23.3
Vonau Flash 4mg com 10 Comprimidos - Biolab,BIOLAB RX,7896241296523,47.61,40.47,7.140000000000001,15.0
Vonau Flash 8mg com 10 Comprimidos - Biolab,BIOLAB RX,7896241296400,93.77,79.7,14.069999999999993,15.0
Ecasil-81 81mg com 90 Comprimidos Revestidos - Biolab Avert,BIOLAB RX,7896112416463,51.09,39.22,11.870000000000005,23.2
"Aradois H 50/12,5mg com 90 Comprimidos - Biolab",BIOLAB RX,7896112428015,177.31,150.71,26.599999999999994,15.0
Triazol 150mg com 4 Cápsulas - Biolab,BIOLAB RX,7896112424147,113.86,96.78,17.08,15.0
Xefo 8mg com 20 Comprimidos - Biolab,BIOLAB RX,7896112480709,34.52,30.38,4.140000000000004,12.0
Xefo 8mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112421498,51.7,45.5,6.200000000000003,12.0
"Press Plus 2,5/10mg com 30 Cápsulas - Biolab",BIOLAB RX,7896112470526,75.03,63.78,11.25,15.0
Pressat 10mg com 60 Comprimidos - Biolab,BIOLAB RX,7896112413745,205.32,155.65,49.66999999999999,24.2
Pressat 5mg com 60 Comprimidos - Biolab,BIOLAB RX,7896112413790,108.69,80.92,27.769999999999996,25.5
"Level 0,10/0,2 mg com 63 Comprimidos - Biolab",BIOLAB RX,7896112448358,88.19,61.04,27.15,30.8
Lipless 100mg com 60 Comprimidos - Biolab,BIOLAB RX,7896112416135,169.93,144.44,25.49000000000001,15.0
"Novanlo 2,5mg com 30 Comprimidos - Biolab",BIOLAB RX,7896714292236,77.46,54.95,22.50999999999999,29.1
Aradois 100mg cm 60 Comprimidos - Biolab,BIOLAB RX,7896241228203,194.59,141.16,53.43000000000001,27.5
Novanlo 5mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112422211,150.48,109.1,41.379999999999995,27.5
Epilenil 250mg com 25 Comprimidos - Biolab,BIOLAB RX,7896112426646,30.45,18.69,11.759999999999998,38.6
"Tantin 0,06mg/0,015mg com 84 Comprimidos - Biolab",BIOLAB RX,7896112423294,87.3,62.38,24.919999999999995,28.5
Livalo 2mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112405856,140.53,101.98,38.55,27.4
Lipless 100mg com 90 Comprimidos - Biolab,BIOLAB RX,7896112416142,190.69,162.09,28.599999999999994,15.0
Livalo 4mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112405870,254.82,195.07,59.75,23.4
Vasopril Plus 10/25mg com 30 Comprimidos - Biolab,BIOLAB RX,7896241293751,63.57,47.61,15.96,25.1
Venula com 30 Cápsulas - Biolab,BIOLAB RX,7896112452775,44.27,37.63,6.640000000000001,15.0
Monessa - 90 cápsulas,BIOLAB RX,7898549757133,340.04,289.03,51.01000000000005,15.0
Vaslip 40mg com 30 Comprimidos - Biolab,BIOLAB RX,7896241285022,117.74,87.45,30.289999999999992,25.7
Pantogar com 60 Cápsulas - Biolab,BIOLAB RX,7896112425410,226.68,192.68,34.0,15.0
Press Plus 5/10mg com 60 Cápsulas - Biolab,BIOLAB RX,7896112422525,204.64,173.94,30.69999999999999,15.0
"Pressat 2,5mg com 60 Comprimidos - Biolab",BIOLAB RX,7896112413677,75.65,56.43,19.220000000000006,25.4
Cor-Select 5mg com 30 Comprimidos - Biolab Avert,BIOLAB RX,7898549755726,150.48,127.91,22.569999999999993,15.0
Gestrelan com 21 Comprimidos - Gestrelan,BIOLAB RX,7896112403029,13.24,9.79,3.450000000000001,26.1
"Ablok Plus 50/12,5mg com 60 Comprimidos - Biolab RX",BIOLAB RX,7896112411512,94.39,71.09,23.299999999999997,24.7
Ecasil 81mg com 30 Comprimidos - Biolab Avert,BIOLAB RX,7896112416418,17.04,12.9,4.139999999999999,24.3
Press Plus 5/20mg com 60 Cápsulas - Biolab,BIOLAB RX,7896112400431,222.3,188.96,33.34,15.0
Vasopril Plus 10/25mg com 60 Comprimidos - Biolab,BIOLAB RX,7896112470281,113.54,90.45,23.090000000000003,20.3
Aradois H 100/25mg com 90 Comprimidos - Biolab,BIOLAB RX,7896112427773,223.45,189.93,33.51999999999998,15.0
"Cor-select 2,5mg com 30 Comprimidos - Biolab Avert",BIOLAB RX,7898549755627,77.46,65.84,11.61999999999999,15.0
Doss 7000ui com 12 Cápsulas - Biolab,BIOLAB RX,7896112400134,45.44,38.62,6.82,15.0
Doss 7.000ui com 4 Cápsulas - Biolab,BIOLAB RX,7896112400110,19.74,16.78,2.9599999999999973,15.0
Vasopril 20mg com 60 Comprimidos - Biolab,BIOLAB RX,7896112435532,158.29,118.03,40.25999999999999,25.4
Doss 50000ui com 4 Cápsulas - Biolab,BIOLAB RX,7896112400165,99.0,84.15,14.849999999999994,15.0
Mind 10mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112400585,117.37,99.76,17.61,15.0
Nebilet 5mg com 60 Comprimidos - Biolab,BIOLAB RX,7896112400691,230.23,195.7,34.53,15.0
Sintezys 150mg com 1 Comprimido - Biolab,BIOLAB RX,7898146828953,102.81,76.62,26.189999999999998,25.5
Nebilet 5mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112400684,156.25,132.81,23.439999999999998,15.0
Venula com 60 Cápsulas - Biolab,BIOLAB RX,7896112452690,88.47,75.2,13.269999999999996,15.0
"Novanlo 2,5mg com 60 Comprimidos - Biolab",BIOLAB RX,7896112422150,146.53,99.9,46.629999999999995,31.8
Noctiden 10mg com 30 Comprimidos - Biolab Avert,BIOLAB RX,7896112401025,111.39,84.22,27.17,24.4
Nebilet 5mg com 90 Comprimidos - Biolab,BIOLAB RX,7896112400707,328.07,278.86,49.20999999999998,15.0
Riscard 500mg com 60 Comprimidos - Biolab,BIOLAB RX,7896112406532,154.17,118.72,35.44999999999999,23.0
"Alozex 0,25mg/ml sol 100ml",BIOLAB RX,7896112401414,216.7,184.2,32.5,15.0
Olanzys 10mg com 30 Comprimidos - Biolab,BIOLAB RX,7898146828403,248.53,211.25,37.28,15.0
Vonau Flash 8mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112401582,229.8,195.33,34.47,15.0
Vonau Flash 4mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112401551,116.71,99.2,17.50999999999999,15.0
"Ablok Plus 25/12,5 com 60 Comprimidos - Biolab RX",BIOLAB RX,7896112411529,51.09,38.39,12.700000000000003,24.9
Doss 7.000ui com 30 Cápsulas - Biolab,BIOLAB RX,7896112400141,104.15,88.53,15.620000000000005,15.0
Doss 50.000ui com 8 Cápsulas - Biolab,BIOLAB RX,7896112400172,152.82,114.54,38.27999999999999,25.0
Elidel Creme 15g - Biolab,BIOLAB RX,7898560663482,250.22,188.88,61.34,24.5
Sintezys 150mg com 3 Comprimidos - Biolab,BIOLAB RX,7896112402305,132.44,103.28,29.159999999999997,22.0
Empak 300mg com 30 Cápsulas - Biolab,BIOLAB RX,7896112401902,83.32,63.07,20.249999999999993,24.3
Bivolet 5mg com 30 Comprimidos - Biolab,BIOLAB RX,7896112402107,61.06,47.37,13.690000000000005,22.4
Agud 500mg + 30mg com 12 Comprimidos - Biolab,BIOLAB RX,7899551309259,31.73,27.92,3.8099999999999987,12.0
Cefalexina 500mg 10 Comprimidos - Germed,GERMED GENERICO,7896004755496,29.82,9.34,20.48,68.7
Amoxicilina+clav potássio 875mg 20 cpr - Germed,GERMED GENERICO,7896004784304,108.62,77.88,30.74000000000001,28.3
Amoxicilina + Clavulanato de Potássio 457mg 70ml - Germed Genérico,GERMED GENERICO,7896004720210,102.29,67.8,34.49000000000001,33.7
Cefalexina 1g com 8 Comprimidos - Germed Genérico,GERMED GENERICO,7896004712598,94.1,36.88,57.21999999999999,60.8
Tobramicina Colírio 5ml - Germed Genérico,GERMED GENERICO,7896004726151,23.65,14.53,9.12,38.6
Amoxicilina 400mg Suspensão de Uso Oral 100ml - Germed Genérico,GERMED GENERICO,7896004709116,47.1,24.61,22.490000000000002,47.7
Rifamicina Spray 20ml - Germed Genérico,GERMED GENERICO,7896004710433,25.11,25.11,0.0,0.0
Valerato de Betametasona + Sulfato de Gentamicina + Tolnaftato + Clioquin Creme 20g - Germed Genéric,GERMED GENERICO,7896004714004,31.22,10.69,20.53,65.8
Diproprianato de Betametasona + Gentamicina  Creme 30g - Germed Genérico,GERMED GENERICO,7896004711720,30.35,8.23,22.12,72.9
Amoxicilina 500mg com 21 Cápsulas - Germed Genérico,GERMED GENERICO,7896004702223,36.72,20.13,16.59,45.2
Valerato de Betametasona + Sulfato de Gentamicina + Tolnaftato + Clioquin Pomada 20g - Germed Genéri,GERMED GENERICO,7896004713991,35.25,9.95,25.3,71.8
Amoxicilina + Clavulanato de Potássio 875mg com 14 Comprimidos - Germed Genérico,GERMED GENERICO,7896004719610,165.48,58.32,107.16,64.8
