Nome,Marca,EAN,Preço,Preço com desconto,Valor do desconto,Porcentagem de desconto
Somalgin Cardio 200 com 32 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916503419,31.51,24.31,7.200000000000003,22.8
Somalgin Cardio 325 com 32 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916207546,46.63,35.41,11.220000000000006,24.1
Sucrafilm 2g com 20 Flaconetes - Sigma Pharma,SIGMA PHARMA RX,7894916500746,117.36,99.76,17.599999999999994,15.0
Tenadren 40/25mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916550116,15.65,11.24,4.41,28.2
"Tenadren 40/12,5mg com 30 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916503389,15.18,11.09,4.09,26.9
Tenadren 80/25mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916550123,27.59,20.48,7.109999999999999,25.8
Toragesic 10mg com 10 Comprimidos Sublinguais - Sigma Pharma,SIGMA PHARMA RX,7894916501415,49.39,33.07,16.32,33.0
Toragesic 20mg Gotas 10ml - Sigma Pharma,SIGMA PHARMA RX,7894916501668,74.49,63.32,11.169999999999995,15.0
Tropinal com 20 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916208154,26.25,23.1,3.1499999999999986,12.0
Tropinal Solução 15ml - Sigma Pharma,SIGMA PHARMA RX,7894916208833,28.27,24.88,3.3900000000000006,12.0
Sucrafilm 1g com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916500869,76.73,65.22,11.510000000000005,15.0
Brasart 160mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916507936,50.15,38.2,11.949999999999996,23.8
Brasart 320mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916507950,66.29,50.46,15.830000000000005,23.9
Brasart 80mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916507912,52.84,40.02,12.82,24.3
Lipistat 10mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508162,159.89,119.57,40.31999999999999,25.2
Concardio 5mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508513,102.12,86.8,15.320000000000007,15.0
"Concardio 1,25mg com 30 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916508490,77.65,44.77,32.88,42.3
Concardio 10mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508520,123.88,105.3,18.58,15.0
"Concardio 2,5mg com 30 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916508506,87.7,74.55,13.150000000000006,15.0
Dalyne com 21 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508988,71.42,50.03,21.39,29.9
Contracep Injetável 150mg com 1 Ampola - Sigma Pharma,SIGMA PHARMA RX,7894916502900,33.15,23.32,9.829999999999998,29.7
Lipistat 40mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916507356,223.17,179.75,43.41999999999999,19.5
Bupium 150mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916507981,118.89,95.4,23.489999999999995,19.8
Brasart HCT 160 + 25mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508360,104.65,78.11,26.540000000000006,25.4
"Brasart HCT 160 + 12,5mg com 30 Comprimidos - Sigma Pharma",SIGMA PHARMA RX,7894916508353,90.63,70.19,20.439999999999998,22.6
Bupium 150mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916507998,190.17,149.69,40.47999999999999,21.3
Bonecal D 600mg com 60 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508155,82.2,69.87,12.329999999999998,15.0
Esomex 20mg com 28 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916508964,154.75,131.54,23.210000000000008,15.0
Escilex 10mg com 30 Comprimidos - Sigma Pharma,SIGMA PHARMA RX,7894916507738,125.79,98.97,26.820000000000007,21.3
