"id","cfop","cfop_descr","cfop_descricao_movimento","cfop_ext","classificacao","descricao","grupo","operacao_saida_icms","origem_destino","sub_grupo","tipo","tipo_operacao","classificacao_adicional","modulo_de_compras","compras_transf","tipo_icms","custo"
"6907","6907","6907 | Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral                           ","6907 | Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral | Interestadual                              ","907",Armazenagem,Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral                           ,Saídas Ou Prestações De Serviços Para Outros Estados,Outras,Interestadual,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"1151","1151","1151 | Transferência para industrialização ou produção rural                                                     ","1151 | Transferência para industrialização ou produção rural | Dentro do estado                                                     ","151",Transferência - insumo,Transferência para industrialização ou produção rural                                                     ,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,"Transferências para Industrialização, produção rural, comercialização ou prestação de serviços",Mercadoria,Entradas,Transferência insumo,Sim,Transferência,Crédito,Não
"1918","1918","1918 | Devolução de mercadoria remetida em consignação mercantil ou industrial                                   ","1918 | Devolução de mercadoria remetida em consignação mercantil ou industrial | Dentro do estado                                   ","918",Devolução,Devolução de mercadoria remetida em consignação mercantil ou industrial                                   ,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,Outras Entradas De Mercadorias Ou Aquisições De Serviços,Mercadoria,Entradas,"",Não,Não,Crédito,Não
"2653","2653","2653 | Compra de combustível ou lubrificante por consumidor ou usuário final                                     ","2653 | Compra de combustível ou lubrificante por consumidor ou usuário final | Interestadual                                        ","653",Combustível,Compra de combustível ou lubrificante por consumidor ou usuário final                                     ,Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,"Entradas de Combustíveis, derivados ou não de petróleo e lubrificantes",Mercadoria,Entradas,"",Sim,Compra,Crédito,Não
"5156","5156","5156 | Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar            ","5156 | Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar | Dentro do estado            ","156",Transferência - revenda,"Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar            ",Saídas Ou Prestações De Serviços Para O Estado,Transferência,Dentro do estado,Transferências De Produção Própria Ou De Terceiros,Mercadoria,Saídas,Transferência produto acabado,Não,Não,Débito,Não
"5910","5910","5910 | Remessa em bonificação, doação ou brinde                                                                  ","5910 | Remessa em bonificação, doação ou brinde | Dentro do estado                                                                  ","910","Bonificação, doação ou brinde","Remessa em bonificação, doação ou brinde                                                                  ",Saídas Ou Prestações De Serviços Para O Estado,Outras,Dentro do estado,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"6409","6409","6409 | Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária.      ","6409 | Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária.| Interestadual         ","409",Transferência - revenda - com ST,Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária.      ,Saídas Ou Prestações De Serviços Para Outros Estados,Transferência,Interestadual,Saídas De Mercadorias Sujeitas Ao Regime De Substituição Tributária,Mercadoria,Saídas,Transferência produto acabado,Não,Não,Débito,Não
"7930","7930","7930 | Lançamento efetuado a título de devolução de bem cuja entrada tenha ocorrido sob amparo de regime especial aduaneiro de admissão temporária          ","7930 | Lançamento efetuado a título de devolução de bem cuja entrada tenha ocorrido sob amparo de regime especial aduaneiro de admissão temporária| Exportação                ","930",Devolução - drawback,Lançamento efetuado a título de devolução de bem cuja entrada tenha ocorrido sob amparo de regime especial aduaneiro de admissão temporária          ,Saídas Ou Prestações De Serviços Para O Exterior,Outras,Exportação,Outras Saídas De Mercadorias Ou Prestações De Serviços,Mercadoria,Saídas,"",Não,Não,Débito,Não
"1453","1453","1453 | Retorno do animal ou da produção - Sistema de Integração e Parceria Rural","1453 | Retorno do animal ou da produção - Sistema de Integração e Parceria Rural | Dentro do estado","453",Outras entradas,Retorno do animal ou da produção - Sistema de Integração e Parceria Rural,Entradas Ou Aquisições De Serviços Do Estado,"",Dentro do estado,Sistemas de Integração e parceria rural,Mercadoria,Entradas,"",Não,Não,Crédito,Não
"2252","2252","2252 | Compra de energia elétrica por estabelecimento industrial                                                 ","2252 | Compra de energia elétrica por estabelecimento industrial | Interestadual                                                    ","252",Energia elétrica,Compra de energia elétrica por estabelecimento industrial                                                 ,Entradas Ou Aquisições De Serviços De Outros Estados,"",Interestadual,Compras De Energia Elétrica,Mercadoria,Entradas,"",Sim,Compra,Crédito,Sim
"3212","3212","3212 | Devolução de venda no mercado externo de mercadoria industrializada sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof Sped)","3212 | Devolução de venda no mercado externo de mercadoria industrializada sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof Sped) | Importação","212",Devolução,Devolução de venda no mercado externo de mercadoria industrializada sob o Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof Sped),Entradas Ou Aquisições De Serviços Do Exterior,"",Importação,"Devoluções De Vendas De Produção Própria, De Terceiros Ou Anulações De Valores",Mercadoria,Entradas,"",Não,Não,Crédito,Não
"5451","5451","5451 | Remessa de animal -  Sistema de Integração e Parceria Rural                                               ","5451 | Remessa de animal -  Sistema de Integração e Parceria Rural | Dentro do estado                                               ","451",Outras saídas,Remessa de animal -  Sistema de Integração e Parceria Rural                                               ,Saídas Ou Prestações De Serviços Para O Estado,Outras,Dentro do estado,Sistemas De Integração e Parceria rural,Mercadoria,Saídas,"",Não,Não,Débito,Não
