"id","bacen","dt_fim","dt_ini","nome","situacao"
"175","5780",NULL,NULL,PALESTINA,NULL
"142","4766",NULL,NULL,MARSHALL,ILHAS
"185","6254",NULL,NULL,QUIRGUIZ, REPUBLICA
"226","7765",NULL,NULL,TAILANDIA,NULL
"201","6971",NULL,NULL,SAN MARINO,NULL
"61","1988",NULL,NULL,COVEITE,APENAS ALTERAÇÃO DE 
"117","3913",NULL,NULL,JAMAICA,NULL
"236","8109",NULL,NULL,TONGA,NULL
"95","3212",NULL,NULL,GUERNSEY, ILHA DO CANAL (INCLUI ALDERNEY E SARK)
"104","3514",NULL,NULL,HONG KONG,NULL
"163","5312",NULL,NULL,NIUE,ILHA
"198","6912",NULL,NULL,SAMOA AMERICANA,NULL
"45","1538",NULL,NULL,CAZAQUISTAO, REPUBLICA DO
"229","7820",NULL,NULL,TERRITORIO BRIT.OC.INDICO,NULL
"190","6653",NULL,NULL,ZIMBABUE,NULL
"157","5088",NULL,NULL,NAURU,NULL
"123","4235",NULL,NULL,LEBUAN,ILHAS
"80","2674",NULL,NULL,FILIPINAS,NULL
"38","1279",NULL,NULL,CABO VERDE, REPUBLICA DE
"54","1775",NULL,NULL,CONGO,NULL
"224","7706",NULL,NULL,SURINAME,NULL
"125","4278",NULL,NULL,LETONIA, REPUBLICA DA
"225","7722",NULL,NULL,TADJIQUISTAO, REPUBLICA DO
"88","2933",NULL,NULL,GIBRALTAR,NULL
"49","1619",NULL,NULL,FORMOSA (TAIWAN),NULL
"87","2925",NULL,NULL,ILHAS GEORGIA DO SUL E SANDWICH DO SUL,INCLUÍDO
"28","973",NULL,NULL,BOLIVIA, ESTADO PLURINACIONAL DA
"60","1961",NULL,NULL,COSTA RICA,NULL
"228","7811",NULL,NULL,TERRAS AUSTRAIS E ANTARTICAS FRANCESAS,INCLUÍDO
"239","8230",NULL,NULL,TURCAS E CAICOS,ILHAS
"189","6602",NULL,NULL,REUNIAO, ILHA
"147","4898",NULL,NULL,MAYOTTE (ILHAS FRANCESAS),INCLUÍDO
"76","2518",NULL,NULL,ESTONIA, REPUBLICA DA
"169","5517",NULL,NULL,VANUATU,NULL
"193","6769",NULL,NULL,RUSSIA, FEDERACAO DA
"62","1988",NULL,NULL,KUWAIT,APENAS ALTERAÇÃO DE 
