"rown","id_cnpj","id_dt_ini","id_dt_fin","uf","cod_aj","descr_sped","vl_aj_apur","fonte_sped","descr_abrev","descr_aj","deb_ou_cred","tipo_aj","nome_tipo_aj","centralizacao","fonte","chv_nf","id_importation","has_nf","origem_ajuste"
1,"35068230000258","01/02/2023","28/02/2023","","","",-135478.53,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
1,"09017661000528","01/06/2023","30/06/2023","","","",-151568.61,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
1,"09017661000285","01/05/2023","31/05/2023","","","",-78460.53,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
1,"09017661000951","01/10/2023","31/10/2023","","","",-39444.89,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
1,"09017661001257","01/11/2023","30/11/2023","","","",-22556.39,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
1,"09017661000609","01/11/2022","30/11/2022","","","",-290676.58,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
1,"09017661000790","01/11/2023","30/11/2023","","","",-13236.87,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
1,"09017661000102","01/06/2023","30/06/2023","","","",-33415.7,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
1,"09017661000285","01/02/2023","28/02/2023","","","",-96022.18,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
1,"09017661001257","01/10/2023","31/10/2023","","","",-54050.65,"","","","",APURACAO_ICMS_CREDITOS,Créditos,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_CREDITOS
