"cnpj","filial","competencia","notas_totais","notas_faltantes","porcentagem_faltante"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"10/2023",11,0,"0.00%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"08/2023",9,0,"0.00%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",217,0,"0.00%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"06/2023",215,147,"68.37%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"11/2023",86,0,"0.00%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"06/2023",165,97,"58.79%"
"09017661000366",Torres Comercio de Calcados - Eireli,"05/2023",236,150,"63.56%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2023",596,381,"63.93%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2022",2148,2148,"100.00%"
"09017661000366",Torres Comercio de Calcados - Eireli,"10/2023",120,85,"70.83%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",261,181,"69.35%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",275,275,"100.00%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"02/2023",143,0,"0.00%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"11/2023",11,0,"0.00%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",445,247,"55.51%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",233,132,"56.65%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2023",921,0,"0.00%"
"09017661001095",TORRES COMERCIO DE CALCADOS - EIRELI,"04/2023",191,0,"0.00%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2023",170,77,"45.29%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"10/2022",129,0,"0.00%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",234,109,"46.58%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"01/2023",257,0,"0.00%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",214,214,"100.00%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"01/2023",322,215,"66.77%"
"09017661001257",TORRES COMERCIO DE CALCADOS LTDA,"11/2023",274,105,"38.32%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"05/2023",283,0,"0.00%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"01/2023",164,88,"53.66%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",402,15,"3.73%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"07/2022",208,0,"0.00%"
"09017661000366",Torres Comercio de Calcados - Eireli,"09/2023",194,129,"66.49%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"08/2023",213,97,"45.54%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",6155,0,"0.00%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"03/2023",220,0,"0.00%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"02/2023",425,307,"72.24%"
"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"02/2023",1955,0,"0.00%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"02/2023",3,3,"100.00%"
"09017661000790",TORRES COMERCIO DE CALCADOS - EIRELI,"02/2023",162,84,"51.85%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"12/2022",88,0,"0.00%"
"09017661000285",TORRES COMERCIO DE CALCADOS - EIRELI,"04/2023",424,283,"66.75%"
"09017661000447",TORRES COMERCIO DE CALCADOS - EIRELI,"04/2023",472,361,"76.48%"
"09017661000951",TORRES COMERCIO DE CALCADOS - EIRELI,"04/2023",222,0,"0.00%"
"09017661000870",TORRES COMERCIO DE CALCADOS  EIRELI,"12/2023",276,152,"55.07%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"04/2023",176,74,"42.05%"
"09017661000102",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2023",273,87,"31.87%"
"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2023",313,313,"100.00%"
"35068230000339",PAULA TORRES COMERCIO DE CALCADOS LTDA,"03/2023",8,0,"0.00%"
"35068230000258",PAULA TORRES COMERCIO DE CALCADOS LTDA,"01/2023",65,0,"0.00%"
