"id_cnpj","reg","dt_ini","dt_fin","vl_tot_debitos","vl_tot_debitos_sped","diff_total_debito","vl_aj_debitos","vl_tot_aj_debitos","vl_estornos_cred","total_ajuste_debitos","vl_tot_creditos","vl_tot_creditos_sped","diff_tot_creditos","vl_aj_creditos","vl_tot_aj_creditos","vl_estornos_deb","total_ajuste_creditos","vl_sld_credor_ant_sped","vl_sld_credor_ant","diff_sld_credor_ant","vl_tot_ded","deb_esp","vl_apurado_no_periodo","apuracao_icms","id_importation","dt_created","dt_updated","year","month","day","hour","minute","rown"
"09017661001095",E100,"01/01/2023","31/01/2023",39069.539999999986,"39069,54",0.0000000000145519,"0",0.0,0.0,0.0,35401.34000000002,"35401,34",-0.0000000000218279,"0",0.0,0.0,0.0,"83060","83060.00",-47658.66,"0","0",3668.2000000000044,-79391.79999999999,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000177",E100,"01/12/2023","31/12/2023",0.0,"0",0.0,"0",0.0,0.0,0.0,0.0,"0",0.0,"0",0.0,0.0,0.0,"7,37",-7.37,7.37,"0","0",0.0,-7.37,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000528",E100,"01/12/2023","31/12/2023",71102.35999999997,"71102,36",0.0000000000291038,"0",80578.08,0.0,80578.08,151680.44000000003,"151680,44",-0.0000000000291038,"0",0.0,0.0,0.0,"0","0.00",151680.44,"0","0",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000366",E100,"01/01/2023","31/01/2023",67197.86000000007,"67197,86",-0.0000000000727596,"0",0.0,0.0,0.0,32784.60000000001,"32784,6",-0.0000000000145519,"0",34413.26,0.0,34413.26,"0","0.00",32784.6,"0","0",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000447",E100,"01/09/2023","30/09/2023",113876.69000000022,"113876,69",-0.0000000002182787,"0,00",0.0,0.0,0.0,65287.29000000004,"65287,29",-0.0000000000363798,"0,00",48589.4,0.0,48589.4,"0,00","0.00",65287.29,"0,00","0,00",0.0,0.0,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000951",E100,"01/08/2023","31/08/2023",54699.03999999993,"54699,04",0.0000000000727596,"0",0.0,0.0,0.0,85342.76000000002,"85342,76",-0.0000000000291038,"0",0.0,0.0,0.0,"0",-30643.72,115986.47999999998,"0","0",-30643.719999999994,-30643.719999999994,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661001095",E100,"01/08/2023","31/08/2023",46888.380000000034,"46888,38",-0.0000000000363798,"0",0.0,0.0,0.0,52597.16999999996,"52597,17",0.0000000000363798,"0",0.0,0.0,0.0,"18155,08",-23863.87,76461.04000000001,"0","0",-5708.790000000001,-23863.870000000003,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000285",E100,"01/10/2023","31/10/2023",59567.579999999914,"59567,58",0.0000000000873115,"0,00",0.0,0.0,0.0,49854.22999999996,"49854,23",0.0000000000436557,"0,00",9713.35,0.0,9713.35,"0,00",-0.00,49854.23,"0,00","0,00",-0.000000000001819,-0.000000000001819,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"09017661000366",E100,"01/10/2023","31/10/2023",24603.710000000003,"24603,71",-0.000000000003638,"0",0.0,0.0,0.0,35143.74999999998,"35143,75",0.0000000000218279,"0",0.0,0.0,0.0,"9756,44",-20296.48,55440.23,"0","0",-10540.04,-20296.480000000003,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
"35068230000258",E100,"01/09/2023","30/09/2023",587286.0499999954,"587286,05",0.0000000046566129,"0",1888.9,1367.73,3256.63,114977.62000000024,"114977,62",-0.0000000002473826,"0",0.0,419846.3,419846.3,"0","55718.76",59258.85999999993,"0","0",55718.76000000007,55718.76000000007,"6601c26ae4d1f54a569c6d53","2024-03-25 18:49","2024-03-25 18:49",2024,3,25,18,49,1
