"nf_key","_id","cnpj","branch_name","sped_competence","rown"
"35221109017661000609550010000529931050177735","8260637e-f807-4c64-ba3c-8de309b3ebf9","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2022",1
"35221109017661000609550010000522011036350352","92b4211f-f67b-40fb-ae20-d2a8ce9f3769","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2022",1
"35220809017661000609550010000434791016365912","14299da4-9b2d-43c3-9744-85ad89f93046","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2022",1
"35220809017661000609550010000456551085267272","3174db8e-25e4-4b18-8c44-e29d1d9d1551","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2022",1
"35220809017661000609550010000455121096231301","51320680-2764-40d0-9a0d-cf930cfb6960","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2022",1
"35220709017661000609550010000423791070588645","417cc170-a9ab-47af-9ece-7e3f4d48867b","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2022",1
"35220709017661000609550010000428671050772390",c19a3477-25df-42c2-ba5f-0867f8e8d227,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2022",1
"35230309017661000528550010000113131097820635",ca2226f9-cd75-44d4-9ace-ed7d922627fb,"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"03/2023",1
"35221209017661000609550010000574511109625479",deb5df5a-6ce9-43bd-9c56-adac09ff7aec,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2022",1
"35220709017661000609550010000418501056740260",d4611ada-c207-4b9e-b647-684132467183,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2022",1
"35231109017661000528550090000000131382579853","257a622e-2f56-4515-9025-6b1adc30dc1e","09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",1
"35220709017661000609550010000410591069668351",c856f161-4950-4e9d-8a88-f4a7ec462522,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2022",1
"35220709017661000609550010000413961020372106","37c61bec-e920-4cab-be20-0b928c457878","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2022",1
"35231109017661000528550960000005551227444963","5d7f42c2-fdac-4b1d-b8d7-aae13a76ba8f","09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",1
"35220709017661000609550010000403401083706184","73b3eef3-d708-4774-b89d-8413120ead6e","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2022",1
"35220809017661000609550010000451591059170714","33bdc511-dd04-47b1-8c51-5910366aeb2b","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2022",1
"35221109017661000609550010000502111052017856",d903afad-d401-4bdb-b125-0963da30e885,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2022",1
"35231009017661000528550980000009411843081973",e454aed8-3948-4e10-b85b-0889f34254ab,"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"10/2023",1
"35221209017661000609550010000573261292581989","00c89207-af01-4fa3-927b-d2a2b2e4087f","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2022",1
"35220709017661000609550010000409961031696704","5dd41c95-c64f-4ed5-9226-96b12592ed5d","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2022",1
"35220809017661000609550010000451961061409714",bffc0ea7-303b-41eb-a69c-506b1bc69398,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2022",1
"35221109017661000609550010000498781093161845",a4b4b179-a0f6-4545-9149-acc4b9cd247a,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2022",1
"35220809017661000609550010000443991005069669","09441e7c-12a9-4b3c-b2a0-67e291dd083d","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2022",1
"35221209017661000609550010000565561326469928",d418d4eb-f6f4-4969-b4cf-973c1347ead2,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2022",1
"35220709017661000609550010000431571008462915","3e7903ee-fa70-4250-97ed-96d9fb5f921d","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"07/2022",1
"35221109017661000609550010000520971094458721","732d8202-25c5-4902-81d2-aed66266cc1d","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2022",1
"35221209017661000609550010000573181789529782","783603fa-301c-40db-92a8-973f15b5a49d","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2022",1
"35231109017661000528550010000120351117423289",c563f696-77c2-4ec0-957b-60c50e3cb583,"09017661000528",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2023",1
"35221109017661000609550010000523371052436213",cdf8ab1a-7cc9-460c-ad78-6a97bcf16d52,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2022",1
"35221209017661000609550010000565621242445731","2335e6a4-b221-4e88-9e0f-f751355f6211","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2022",1
"35221209017661000609550010000568131274415473","82663c35-41e9-43fc-aad1-98f6e9c31847","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2022",1
"35220809017661000609550010000444221058218766","00ed4040-3936-4b64-be0a-c5b1df8963b2","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"08/2022",1
"35221109017661000609550010000503491075171587",ae2fc5d5-74e5-4bd3-b981-6ee6106c0348,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2022",1
"35220909017661000609550010000467901088256592","30fcd19f-6344-4343-8d3f-629044bcfd51","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2022",1
"35221109017661000609550010000509481047394777",b9b93392-3310-407a-9639-1734677c390d,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"11/2022",1
"35220909017661000609550010000475621035395341","3501ad74-cab6-4ef6-bbed-141434999590","09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"09/2022",1
"35221209017661000609550010000569121324291495",d24b7891-0136-4253-87aa-1c95ec6c4f22,"09017661000609",TORRES COMERCIO DE CALCADOS - EIRELI,"12/2022",1
