"id_dt_fin","id_cnpj","sped","reg","rown"
"31/10/2023","09017661000609",SPED,SPED,1
"31/01/2023","09017661000609",SPED,SPED,1
"31/08/2022","09017661000609",SPED,SPED,1
"28/02/2023","35068230000177",SPED,SPED,1
"31/05/2023","09017661000870",SPED,XML,1
"31/12/2023","09017661000609",SPED,SPED,1
"30/09/2023","09017661000870",SPED,XML,1
"30/11/2022","09017661000609",SPED,SPED,1
"31/08/2023","09017661000609",SPED,SPED,1
"31/03/2023","09017661000870",SPED,XML,1
"31/03/2023","09017661000790",SPED,XML,1
"28/02/2023","09017661000790",SPED,XML,1
"31/12/2023","09017661000102",SPED,XML,1
"31/01/2023","09017661000102",SPED,SPED,1
"30/06/2023","35068230000177",SPED,SPED,1
"30/11/2023","35068230000410",SPED,SPED,1
"31/07/2023","09017661000870",SPED,XML,1
"31/08/2023","35068230000177",SPED,SPED,1
"31/07/2023","09017661000790",SPED,XML,1
"31/10/2023","35068230000177",SPED,SPED,1
"31/05/2023","09017661000790",SPED,XML,1
"30/09/2023","09017661000790",SPED,XML,1
"30/11/2023","09017661000790",SPED,XML,1
"30/11/2023","35068230000339",SPED,SPED,1
"30/04/2023","35068230000339",SPED,SPED,1
"30/04/2023","09017661000102",SPED,SPED,1
"31/07/2023","35068230000177",SPED,SPED,1
"31/08/2023","35068230000258",SPED,SPED,1
"31/01/2023","35068230000177",SPED,SPED,1
"31/01/2023","09017661001095",SPED,XML,1
"31/08/2023","35068230000339",SPED,SPED,1
"30/11/2023","35068230000258",SPED,SPED,1
"31/05/2023","09017661000102",SPED,XML,1
"31/08/2023","09017661000102",SPED,XML,1
"30/06/2023","09017661000790",SPED,XML,1
"31/10/2023","09017661000102",SPED,XML,1
"31/03/2023","35068230000177",SPED,SPED,1
"30/09/2023","35068230000339",SPED,SPED,1
"30/09/2023","35068230000258",SPED,SPED,1
"31/01/2023","09017661000951",SPED,XML,1
"31/10/2023","09017661001176",SPED,SPED,1
"31/03/2023","09017661000528",SPED,XML,1
"30/11/2023","09017661000285",SPED,XML,1
"30/04/2023","09017661000790",SPED,XML,1
"30/09/2023","09017661000102",SPED,XML,1
"31/10/2022","09017661000609",SPED,SPED,1
"31/10/2023","09017661001257",SPED,XML,1
"31/05/2023","35068230000258",SPED,SPED,1
"30/09/2023","09017661000609",SPED,SPED,1
"30/11/2023","09017661000609",SPED,SPED,1
"30/11/2023","09017661001095",SPED,XML,1
"30/11/2023","09017661000102",SPED,XML,1
"31/12/2023","09017661001095",SPED,XML,1
"31/12/2023","09017661000285",SPED,XML,1
"30/04/2023","35068230000177",SPED,SPED,1
"31/07/2023","09017661000102",SPED,XML,1
"31/03/2023","09017661000285",SPED,XML,1
"31/05/2023","09017661000951",SPED,XML,1
"31/08/2023","09017661000951",SPED,XML,1
"31/10/2023","09017661000951",SPED,XML,1
"30/11/2023","09017661001176",SPED,SPED,1
"28/02/2023","35068230000339",SPED,SPED,1
"30/04/2023","09017661000366",SPED,XML,1
"30/04/2023","09017661000609",SPED,SPED,1
"31/05/2023","09017661000528",SPED,XML,1
"30/04/2023","35068230000258",SPED,SPED,1
"30/04/2023","09017661000447",SPED,XML,1
"30/06/2023","09017661000951",SPED,XML,1
"31/05/2023","35068230000177",SPED,SPED,1
"31/12/2023","35068230000258",SPED,SPED,1
"31/03/2023","09017661001095",SPED,XML,1
"30/04/2023","09017661000285",SPED,XML,1
"30/09/2022","09017661000609",SPED,SPED,1
"31/12/2023","09017661000951",SPED,XML,1
"31/05/2023","09017661001095",SPED,XML,1
"30/09/2023","09017661001257",SPED,SPED,1
"30/06/2023","35068230000258",SPED,SPED,1
"31/10/2023","09017661001095",SPED,XML,1
"30/06/2023","09017661000528",SPED,XML,1
"31/05/2023","09017661000609",SPED,SPED,1
"30/11/2022","35068230000258",SPED,SPED,1
"31/12/2023","09017661000366",SPED,XML,1
"30/06/2023","09017661000447",SPED,XML,1
"31/05/2023","35068230000339",SPED,SPED,1
"31/01/2023","09017661000870",SPED,XML,1
"31/01/2023","35068230000339",SPED,SPED,1
"31/12/2023","09017661001176",SPED,SPED,1
"31/10/2023","35068230000339",SPED,SPED,1
"31/08/2023","09017661001257",SPED,SPED,1
"30/04/2023","09017661001095",SPED,XML,1
"31/08/2023","09017661000447",SPED,XML,1
"31/07/2023","09017661000366",SPED,XML,1
"31/01/2023","09017661000366",SPED,XML,1
"31/12/2023","35068230000339",SPED,SPED,1
"30/11/2023","09017661000870",SPED,XML,1
"31/10/2023","09017661000447",SPED,SPED,1
"31/08/2023","09017661000790",SPED,XML,1
"31/12/2022","35068230000258",SPED,SPED,1
"31/05/2023","09017661000447",SPED,XML,1
"30/06/2023","09017661000366",SPED,XML,1
"31/08/2023","09017661000366",SPED,XML,1
"31/10/2023","09017661000790",SPED,XML,1
"28/02/2023","09017661000366",SPED,XML,1
"30/06/2023","35068230000339",SPED,SPED,1
"30/09/2023","09017661001095",SPED,XML,1
"28/02/2023","09017661000447",SPED,XML,1
"31/08/2022","35068230000258",SPED,SPED,1
"31/07/2023","09017661000528",SPED,SPED,1
"30/09/2023","09017661000285",SPED,XML,1
"30/11/2023","09017661000528",SPED,SPED,1
"30/09/2023","09017661001176",SPED,SPED,1
"31/07/2022","09017661000609",SPED,SPED,1
"28/02/2023","09017661000609",SPED,SPED,1
"31/03/2023","09017661000366",SPED,XML,1
"30/04/2023","09017661000870",SPED,XML,1
"31/08/2023","09017661000870",SPED,XML,1
"31/10/2023","09017661000870",SPED,XML,1
"31/10/2023","09017661000285",SPED,XML,1
"30/11/2023","09017661000366",SPED,XML,1
"31/05/2023","09017661000285",SPED,XML,1
"30/11/2023","09017661001257",SPED,SPED,1
"30/09/2023","09017661000366",SPED,XML,1
"30/06/2023","09017661000102",SPED,XML,1
"28/02/2023","09017661000285",SPED,XML,1
"31/01/2023","35068230000258",SPED,SPED,1
"31/12/2023","09017661000790",SPED,XML,1
"30/11/2023","09017661000447",SPED,SPED,1
"30/09/2023","09017661000447",SPED,XML,1
"30/09/2023","09017661000951",SPED,XML,1
"28/02/2023","09017661000870",SPED,XML,1
"31/01/2023","09017661000790",SPED,XML,1
"31/03/2023","35068230000339",SPED,SPED,1
"30/09/2023","35068230000177",SPED,SPED,1
"30/11/2023","35068230000177",SPED,SPED,1
"31/01/2023","09017661000447",SPED,XML,1
"31/12/2023","09017661000447",SPED,XML,1
"31/07/2023","09017661000609",SPED,SPED,1
"28/02/2023","09017661000102",SPED,SPED,1
"31/03/2023","09017661000447",SPED,XML,1
"31/08/2023","09017661001095",SPED,XML,1
"28/02/2023","35068230000258",SPED,SPED,1
"31/10/2022","35068230000258",SPED,SPED,1
"30/06/2023","09017661000870",SPED,XML,1
"31/10/2023","35068230000258",SPED,SPED,1
"30/11/2023","09017661000951",SPED,XML,1
